Include,Block,Lot,Qual,Address,Class,Bldg,Type,Design,VCS,Zoning,Location,Special Region,Category,Sale Date,$ Sale Price,Acres,$/Acre,Package,Notes
N,939,19.08,07,6 PADDOCK CT,2,17,10,02,BYVL,R200,,Normal,pre-construction,2021-10-26,"$413,970",0.19,"$3,114,047",N,SALE OF NEW CONSTRUCTION
N,939,19.10,07,8 PADDOCK CT,2,17,10,02,BYVL,R200,,Normal,pre-construction,2021-10-28,"$461,460",0.15,"$3,076,400",N,SALE OF NEW CONSTRUCTION
N,939,19.13,07,20 PRAIRIE LN,2,17,10,02,BYVL,R200,,Normal,pre-construction,2021-04-27,"$431,305",0.19,"$3,244,447",N,SALE OF NEW CONSTRUCTION
N,939,19.15,07,16 PRAIRIE LN,2,16,10,02,BYVL,R200,,Normal,pre-construction,2021-05-20,"$410,290",0.2,"$2,932,050",N,SALE OF NEW CONSTRUCTION
N,939,19.16,07,14 PRAIRIE LN,2,17,10,02,BYVL,R200,,Normal,pre-construction,2021-06-30,"$448,640",0.22,"$2,914,645",N,SALE OF NEW CONSTRUCTION
N,939,19.21,07,4 PRAIRIE LN,2,17,10,02,BYVL,R200,,Normal,pre-construction,2021-11-04,"$473,110",0.26,"$2,600,754",N,SALE OF NEW CONSTRUCTION
N,939.15,23.15,07,19 PRAIRIE LN,2,17,10,02,BYVL,R200,,Normal,pre-construction,2021-12-06,"$455,110",0.19,"$3,423,521",N,SALE OF NEW CONSTRUCTION
N,939.15,23.16,07,21 PRAIRIE LN,2,17,10,02,BYVL,R200,,Normal,pre-construction,2021-01-25,"$439,950",0.23,"$2,733,917",N,SALE OF NEW CONSTRUCTION
N,956,1,00,760 ROUTE 9,1,10,,,COMM,CNB,,Normal,commercial_land,2025-02-12,"$189,000",1,"$189,000",N,COMM VACANT LOT
N,956,24.01,07,1 POTTERS CT,1,17,10,02,PNWD,R125,,Normal,pre-construction,2026-05-28,"$865,000",0,,N,SALE OF NEW CONSTRUCTION
N,956,24.07,07,2 POTTERS CT,1,18,10,02,PNWD,R125,,Normal,pre-construction,2026-06-23,"$850,000",0,,N,SALE OF NEW CONSTRUCTION
N,976,8,07,472 MULLER AVE,1,16,10,02,PNWD,R150,,Normal,pre-construction,2026-05-15,"$850,000",0.52,"$1,634,615",N,SALE OF NEW CONSTRUCTION
Y,992,1,00,ADAMS AVE,1,10,,,PNWD,R150,,Normal,raw_land,2026-06-04,"$95,000",0.23,"$413,043",N,RD FRONTAGE NONCONFORMING
Y,994,17,,MONROE AVE,1,10,00,00,PNWD,R150,,Normal,landlocked,2024-03-11,"$30,000",0.34,"$88,235",N,CONFORMING LANDLOCKED PAPER ST
N,999,15,00,ROUTE 9,1,10,,,PNWD,R150,ROUTE 9,Normal,commercial_land,2026-05-18,"$165,000",1,"$165,000",N,COMM VACANT LOT
N,999,8,,ROUTE 9,1,10,,,PNWD,R150,ROUTE 9,Normal,commercial_land,2024-02-02,"$40,000",0.63,"$63,492",N,COMM VACANT LOT
Y,1000,9.01,,708 ADAMS AVE,1,10,10,02,PNWD,R400  ,,Normal,building_lot,2024-04-25,"$45,000",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,1 HALIFAX RD,2,37,30,09,CCTH,CNC,,Normal,pre-construction,2024-02-23,"$166,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,1 HALIFAX RD,2,37,30,09,CCTH,CNC,,Normal,pre-construction,2024-02-27,"$166,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,3 HALIFAX RD,2,37,30,08,CCTH,CNC,,Normal,pre-construction,2024-02-23,"$166,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,3 HALIFAX RD,2,37,30,08,CCTH,CNC,,Normal,pre-construction,2024-02-27,"$166,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,5 HALIFAX RD,2,37,30,08,CCTH,CNC,,Normal,pre-construction,2024-02-23,"$166,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,5 HALIFAX RD,2,37,30,08,CCTH,CNC,,Normal,pre-construction,2024-02-27,"$166,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,7 HALIFAX RD,2,37,30,08,CCTH,CNC,,Normal,pre-construction,2024-02-23,"$110,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,7 HALIFAX RD,2,37,30,08,CCTH,CNC,,Normal,pre-construction,2024-02-27,"$110,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,9 HALIFAX RD,2,37,30,08,CCTH,CNC,,Normal,pre-construction,2024-02-23,"$110,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,9 HALIFAX RD,2,37,30,08,CCTH,CNC,,Normal,pre-construction,2024-02-27,"$110,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,11 HALIFAX RD,2,37,30,08,CCTH,CNC,,Normal,pre-construction,2024-02-23,"$110,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,11 HALIFAX RD,2,37,30,08,CCTH,CNC,,Normal,pre-construction,2024-02-27,"$110,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,13 HALIFAX RD,2,37,30,08,CCTH,CNC,,Normal,pre-construction,2024-02-23,"$111,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,13 HALIFAX RD,2,37,30,08,CCTH,CNC,,Normal,pre-construction,2024-02-27,"$111,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,15 HALIFAX RD,2,37,30,08,CCTH,CNC,,Normal,pre-construction,2024-02-23,"$110,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,15 HALIFAX RD,2,37,30,08,CCTH,CNC,,Normal,pre-construction,2024-02-27,"$110,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,17 HALIFAX RD,2,37,30,08,CCTH,CNC,,Normal,pre-construction,2024-02-23,"$166,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,19 HALIFAX RD,2,37,30,09,CCTH,CNC,,Normal,pre-construction,2024-02-23,"$166,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,2 HALIFAX RD,2,37,30,09,CCTH,CNC,,Normal,pre-construction,2024-06-26,"$166,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,2 HALIFAX RD,2,37,30,09,CCTH,CNC,,Normal,pre-construction,2024-07-01,"$166,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,4 HALIFAX RD,2,37,30,08,CCTH,CNC,,Normal,pre-construction,2024-06-26,"$166,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,23 HALIFAX RD,2,35,30,09,CCTH,CNC,,Normal,pre-construction,2025-01-24,"$166,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,25 HALIFAX RD,2,35,30,08,CCTH,CNC,,Normal,pre-construction,2025-01-24,"$166,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,27 HALIFAX RD,2,35,30,08,CCTH,CNC,,Normal,pre-construction,2025-01-24,"$110,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,29 HALIFAX RD,1,37,30,08,CCTH,CNC,,Normal,building-lot,2025-01-24,"$110,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,31 HALIFAX RD,1,37,30,08,CCTH,CNC,,Normal,building-lot,2025-01-24,"$110,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,33 HALIFAX RD,2,35,30,08,CCTH,CNC,,Normal,pre-construction,2025-01-24,"$110,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,35 HALIFAX RD,1,37,30,08,CCTH,CNC,,Normal,building-lot,2025-01-24,"$166,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,37 HALIFAX RD,2,35,30,09,CCTH,CNC,,Normal,pre-construction,2025-01-24,"$166,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,22 HALIFAX RD,1,37,30,08,CCTH,CNC,,Normal,pre-construction,2025-04-24,"$166,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,24 HALIFAX RD,1,37,30,08,CCTH,CNC,,Normal,pre-construction,2025-04-24,"$166,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,26 HALIFAX RD,1,37,30,08,CCTH,CNC,,Normal,pre-construction,2025-04-24,"$166,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,28 HALIFAX RD,1,37,30,08,CCTH,CNC,,Normal,pre-construction,2025-04-24,"$110,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,30 HALIFAX RD,1,37,30,08,CCTH,CNC,,Normal,pre-construction,2025-04-24,"$110,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,32 HALIFAX RD,1,37,30,08,CCTH,CNC,,Normal,pre-construction,2025-04-24,"$110,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,34 HALIFAX RD,1,37,30,08,CCTH,CNC,,Normal,pre-construction,2025-04-24,"$110,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,36 HALIFAX RD,1,37,30,08,CCTH,CNC,,Normal,pre-construction,2025-04-24,"$110,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,38 HALIFAX RD,1,37,30,08,CCTH,CNC,,Normal,pre-construction,2025-04-24,"$110,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,40 HALIFAX RD,1,37,30,08,CCTH,CNC,,Normal,pre-construction,2025-04-24,"$166,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,42 HALIFAX RD,1,37,30,08,CCTH,CNC,,Normal,pre-construction,2025-04-24,"$166,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,44 HALIFAX RD,1,37,30,09,CCTH,CNC,,Normal,pre-construction,2026-01-23,"$460,990",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,44 HALIFAX RD,1,37,30,09,CCTH,CNC,,Normal,pre-construction,2025-04-24,"$166,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
